fecha,hora,parada,linea,identificadorCoche,esAdaptado,tiempo_min,distancia_km
2025-09-14,06:11:39,7881,123,1222(A),False,22,5.829074986183146
2025-09-14,06:11:39,7881,153 R,342(A),True,33,2.1797253350567924
2025-09-14,06:11:39,7881,120,1195(A),False,60,3.6522896576708725
2025-09-14,06:11:39,7881,153 N,341(A),True,75,4.259809327358597
2025-09-14,06:11:39,7881,123,1230(A),False,76,3.4450808304432465
2025-09-14,06:11:39,7881,120,1205(A),False,91,0.2698500248447219
2025-09-14,06:11:39,7881,153 R,328(C),True,92,8.843019249645504
2025-09-14,06:16:47,7881,153 R,342(A),True,28,4.3376878879472685
2025-09-14,06:16:47,7881,120,1195(A),False,55,2.202101929928052
2025-09-14,06:16:47,7881,153 N,341(A),True,70,3.4816727165348627
2025-09-14,06:16:47,7881,123,1230(A),False,72,3.522550001391458
2025-09-14,06:16:47,7881,120,1205(A),False,87,1.2718202104462375
2025-09-14,06:16:47,7881,153 R,328(C),True,87,7.487510207572397
2025-09-14,06:16:47,5742,122 ROJA,4253,False,19,3.8312419250670176
2025-09-14,06:21:51,7881,153 N,332(A),True,14,4.1935899672618975
2025-09-14,06:21:51,7881,153 R,342(A),True,23,4.75491287217694
2025-09-14,06:21:51,7881,120,1195(A),False,49,1.3542278049916139
2025-09-14,06:21:51,7881,153 N,341(A),True,65,2.77294616312456
2025-09-14,06:21:51,7881,123,1230(A),False,67,2.356707390155832
2025-09-14,06:21:51,7881,120,1205(A),False,81,2.3513451283254154
2025-09-14,06:21:51,7881,153 R,328(C),True,82,6.496458988210591
2025-09-14,06:21:51,5742,122 ROJA,4253,False,18,3.4898271024742535
2025-09-14,06:26:54,7881,153 N,332(A),True,9,3.480357104373881
2025-09-14,06:26:54,7881,153 R,342(A),True,18,4.756016805199164
2025-09-14,06:26:54,7881,123,1222(A),False,18,6.6375802535321204
2025-09-14,06:26:54,7881,120,1195(A),False,44,0.24271730373810366
2025-09-14,06:26:54,7881,153 N,341(A),True,60,2.5831816308027746
2025-09-14,06:26:54,7881,123,1230(A),False,62,0.5421656245495069
2025-09-14,06:26:54,7881,120,1205(A),False,74,3.6642025758425607
2025-09-14,06:26:54,7881,153 R,328(C),True,77,6.496458988210591
2025-09-14,06:26:54,5742,122 ROJA,4253,False,12,3.6798866657694878
2025-09-14,06:26:54,5742,122 ROJA,4151,False,21,4.00793350583819
2025-09-14,06:31:59,7881,153 N,332(A),True,3,1.707498701867944
2025-09-14,06:31:59,7881,123,1222(A),False,13,4.999323569045382
2025-09-14,06:31:59,7881,120,1198(A),False,14,3.519993408103188
2025-09-14,06:31:59,7881,153 R,342(A),True,16,4.782579001157249
2025-09-14,06:31:59,7881,120,1195(A),False,39,1.890406075499286
2025-09-14,06:31:59,7881,153 N,341(A),True,55,3.0120125564103066
2025-09-14,06:31:59,7881,123,1230(A),False,57,0.8827297267384486
2025-09-14,06:31:59,7881,120,1205(A),False,67,3.140951802179592
2025-09-14,06:31:59,7881,153 R,328(C),True,72,3.6638062488892364
2025-09-14,06:31:59,7881,123,1222(A),False,98,4.999323569045382
2025-09-14,06:31:59,7881,153 R,336(A),True,99,9.07359220917215
2025-09-14,06:31:59,5742,122 ROJA,4253,False,3,0.9179729596213217
2025-09-14,06:31:59,5742,122 ROJA,4151,False,21,4.005885662232996
2025-09-14,06:37:03,7881,123,1222(A),False,8,3.0543001709118696
2025-09-14,06:37:03,7881,153 R,342(A),True,11,3.802420519067489
2025-09-14,06:37:03,7881,120,1198(A),False,12,3.4201862020363247
2025-09-14,06:37:03,7881,120,1195(A),False,34,3.350895566720983
2025-09-14,06:37:03,7881,153 N,341(A),True,50,3.2420115971423495
2025-09-14,06:37:03,7881,123,1230(A),False,52,2.2613593141087573
2025-09-14,06:37:03,7881,120,1205(A),False,62,1.9362120972874564
2025-09-14,06:37:03,7881,153 R,328(C),True,67,2.8152454708086574
2025-09-14,06:37:03,7881,123,1222(A),False,93,3.0543001709118696
2025-09-14,06:37:03,7881,153 R,336(A),True,94,8.538266205871283
2025-09-14,06:37:03,5742,122 ROJA,4151,False,21,4.010416038049708
2025-09-14,06:42:08,7881,123,1222(A),False,2,1.4598530629351036
2025-09-14,06:42:08,7881,153 R,342(A),True,5,2.4545259600751477
2025-09-14,06:42:08,7881,120,1198(A),False,8,3.323777104552005
2025-09-14,06:42:08,7881,120,1195(A),False,29,3.417739114053791
2025-09-14,06:42:08,7881,153 N,341(A),True,45,2.2777072826584264
2025-09-14,06:42:08,7881,123,1230(A),False,47,3.726603534636763
2025-09-14,06:42:08,7881,120,1205(A),False,57,3.3241275657084075
2025-09-14,06:42:08,7881,153 R,328(C),True,62,2.5167665853373298
2025-09-14,06:42:08,7881,123,1222(A),False,87,1.4598530629351036
2025-09-14,06:42:08,7881,153 R,336(A),True,89,7.552887003209167
2025-09-14,06:42:08,5742,122 ROJA,4151,False,21,4.011441858853502
2025-09-14,06:47:12,7881,120,1198(A),False,0,1.0644478478579928
2025-09-14,06:47:12,7881,120,1195(A),False,14,3.5042005646845356
2025-09-14,06:47:12,7881,153 N,341(A),True,40,0.5221048660320711
2025-09-14,06:47:12,7881,123,1230(A),False,42,5.959622888657558
2025-09-14,06:47:12,7881,120,1205(A),False,52,3.6199143654311614
2025-09-14,06:47:12,7881,153 R,328(C),True,57,2.718283371860453
2025-09-14,06:47:12,7881,123,1222(A),False,83,0.026737261614097556
2025-09-14,06:47:12,7881,153 R,336(A),True,84,6.501783178418366
2025-09-14,06:47:12,5742,122 ROJA,4151,False,21,4.011585939010439
2025-09-14,06:52:16,7881,123,1233(A),False,14,4.984029327749657
2025-09-14,06:52:16,7881,120,1195(A),False,15,3.504584226452504
2025-09-14,06:52:16,7881,153 N,326(C),True,16,4.705255321344993
2025-09-14,06:52:16,7881,153 N,341(A),True,35,2.637431191517844
2025-09-14,06:52:16,7881,120,1205(A),False,47,2.6928433178654148
2025-09-14,06:52:16,7881,153 R,328(C),True,52,3.239869817625877
2025-09-14,06:52:16,7881,123,1222(A),False,77,1.8782512353320826
2025-09-14,06:52:16,7881,153 R,336(A),True,79,6.119767217622869
2025-09-14,06:52:16,5742,122 ROJA,4151,False,20,4.030061602678112
2025-09-14,06:57:20,7881,123,1233(A),False,8,2.9465527343397877
2025-09-14,06:57:20,7881,153 N,326(C),True,12,3.979934276624983
2025-09-14,06:57:20,7881,120,1195(A),False,14,3.5042005646845356
2025-09-14,06:57:20,7881,120,1205(A),False,42,1.7401416696602388
2025-09-14,06:57:20,7881,153 R,328(C),True,46,2.0364089227986244
2025-09-14,06:57:20,7881,153 R,336(A),True,73,4.3551498975124545
2025-09-14,06:57:20,7881,120,1198(A),False,96,1.3132206911824593
2025-09-14,06:57:20,7881,153 N,419(A),False,96,8.35637858561028
2025-09-14,06:57:20,5742,122 ROJA,4151,False,19,3.7341819359537842
2025-09-14,07:02:23,7881,123,1233(A),False,4,1.3782534190183628
2025-09-14,07:02:23,7881,153 N,326(C),True,6,2.8810924419679074
2025-09-14,07:02:23,7881,120,1195(A),False,14,3.5243646538839912
2025-09-14,07:02:23,7881,153 R,412(A),False,16,4.757120925194564
2025-09-14,07:02:23,7881,153 N,341(A),True,24,4.705548797674865
2025-09-14,07:02:23,7881,120,1205(A),False,37,0.7447439485027204
2025-09-14,07:02:23,7881,153 R,328(C),True,41,1.034273551675127
